work	date	issue	page	block	height	width	hpos	vpos	text	active_words	occurrences_words	unique_words
echo_feuilletons	1853-01-01	2	502	502	NA	NA	NA	NA	sultant de l anxiété de la foule une voix forte s écria   peuple  tienstoi prêt  les sbires et les familiers de la police se jetèrent tête baissée à travers la foule mais elle se referma sur eux et l on entendit sourdement résonner des bourrades sonores quand ils sortirent de là ils n avaient plus de feutres il leur restait peu d habits sur le corps mais en revanche ils n en connaissaient pas davantage l auteur de ce cri séditieux  allons dit en riant campanella le peuple est sensible à l appel qui lui a été fait attendons le dénoùment vous raillez dit ribera mais ceci n est point une comédie il se passe ou va se passer quelque chose de sérieux la voix de celui qui a interpellé le peuple partait de l âme  eh bien répondit giovani do  voulezvous que je vous dise quel est ce fameux patriote je l ai vu moi  il était à dix pas d ici  je le connais je sais son nom et vous aussi devinezvous   impossible  c est matteo spada qui a fait avec tant d âme cet appel au peuple  matteo spada l espion le coupejarret lui   luimême il était à dix pas d ici dans la foule je l ai vu se dresser sur ses pieds crier et se fourrer vivement dans le plus épais des badauds quand je vous disais que c est une mystification de la police néanmoins les spectateurs prenaient la chose au sérieux et nous savons s ils avaient raison de le faire personne n agissait d après un plan arrêté mais il existait une imposante unanimité d accord dans les masses un désir de vengeance reliait toutes ces haines en un seul faisceau de tout temps ces tyrans subalternes qu on décorait du nom de vicerois étaient odieux aux napolitains peuple remuant et impatient du joug étranger cette fois une circonstance aggravante se joignait aux sentiments habituels du peuple l oncle du duc d ossone s était fait haïr en abusant de la faculté d exiler les nobles chers au sol les foscoli avaient été jetés dans les marais pontins et les maffei durent gagner les abruzzes l élève se montra digne du maître et se fit détester par des motifs plus personnels  son libertinage d abord et les odieuses vexations exercées par les galants de la lune dont il était le chef la promesse de la mort du duc avait donc été chaudement accueillie et bien qu on la mît en doute chacun se tenait prêt à l action quand les felouques approchèrent du môle les manifestations du peuple redoublèrent mais les sbires avaient senti à la manière dont ils venaient d être reçus qu il fallait se mettre en mesure on vit donc s avancer tout à coup deux divisions de soldats allemands et espagnols destinées sans doute à protéger le débarquement de la cour les lazzarones tinrent bon résolus à ne pas faire place mais les crosses des mousquets tombèrent si lourdement près des pieds des récalcitrants qu il fallut reculer  ça finira par se gâter dit campanella l attitude menaçante de la foule n échappa point aux soldats et malgré leur insolence habituelle ils refoulèrent le peuple avec moins de brutalité qu à l ordinaire ils étaient d abord fort inférieurs en nombre et n avaient aucun abri à proximité  a l eau les soldats  s écriaton de tous côtés les deux divisions tournèrent la tête et voyant autant de monde derrière que devant ils commencèrent à trouver leur situation embarrassante les chefs n osèrent prendre sur eux de faire tirer sur le peuple et leur arrogance s évanouit comme une fumée l ordre fut donné de se replier vers la ville et il était temps que ditesvous de tout cela camarades s écria hibera  je ne répondrais pas que le pauvre peuple ne se fera pas saigner tout à l heure  comment cela finiratil dit caracciolola comédie tournera peutêtre au drame répondit campanella mais la police en viendra à ses fins  avec tout cela dit giovani do il n est plus question des felouques ni de la mort du duc au contraire  entendezvous la musique les fanfares excessivement rapprochées couvrirent un instant le tumulte de la foule et cessèrent soudain les felouques étaient arrivées de sorte que les soldats qui s étaient rendus sur le môle afin de contenir la populace augmentèrent la confusion et le dé	libertinage	1	1
echo_feuilletons	1853-01-01	2	525	525	NA	NA	NA	NA	ne me comprenez pas vous n y êtes pas le moins du monde afin de vous mettre au fait une question  vous m avez demandé votre chemin  oui  eh bien le voici dit tranquillement spirito en montrant le gouffre malgré sa fermeté amerighi pâlit  savezvous sauter mon bon monsieur poursuivit le blond jeune homme probablement eh bien ce n est qu un saut à faire un saut dans l éternité je trouve ça fort drôle moi de sauter à pieds joints d un monde dans un autre et vous  mon épée  s écria le peintre d une voix haletante  hein fit spirito après cela peutêtre désirezvous avant de partir faire une petite oraison à saint julien patron des voyageurs nous avons parmi les fils de mercure d excellents catholiques mon brave monsieur et si pour mon compte je suis d une religion un peu mythologique je n en ai pas moins la tolérance la plus universelle pour tous les cultes faites donc à votre aise  coupez mes liens  rendezmoi mon épée  que je meure en homme  s écria amerighi  impossible impossible voyons un bout de prière ou si vous préférez en route tout de suite  ah les misérables exclama le prisonnier furieux  nous nous fâchons désolé alors brisons là dit spirito il se tourna pour faire un signe à ses hommes mais au même instant une voix de femme une voix fraîche et sonore cria à deux reprises   spirito  spirito   isola  murmura le jeune homme dont l œil bleu jeta un éclair de joie amerighi se retourna et vit une jeune femme d une admirable beauté se lever du pied d un buisson où elle était assise et s avancer vers le groupe sa taille était plus haute que celle du commun des femmes elle avait le port et la démarche d une reine ses cheveux plus unis que l aile du corbeau s enroulaient en nattes épaisses audessus de sa nuque sa mise assez bizarre et de couleur sombre se drapait fantastiquement autour de sa personne ses traits annonçaient vingtquatre ou vingtcinq ans c est à cet âge que la femme atteint toute sa beauté les formes de la jeune femme paraissaient sveltes mais accusaient plus de vigueur qu on n en rencontre ordinairement chez les personnes de son sexe ses yeux d un noir ardent auraient fait baisser les regards du plus hardi elle avait le front haut le nez mince légèrement busqué et d une expression impérieuse sa bouche rouge comme une fleur de grenadier était fière et voluptueuse un riche corsage et des hanches superbes complétaient l ensemble de cette belle créature l expression de sa personne était une mélancolie fière et sérieuse  pourquoi venezvous me troubler ici ditelle à spirito  signora répondit le jeune homme j accomplis un ordre du commandanttoujours d inutiles exécutions vous chargez votre jeune conscience d actions lourdes à porter spirito  je suis un enfant de mercure dit spirito en secouant sa jolie tête blonde et je n ai souci que de mon sabre de ma bourse et de mon cœur vous êtes un enfant mauvais dit isola  vous me jugez toujours sévèrement signora répondit spirito avec amertume  comme vous le méritez d ailleurs ajoutatelle dédaigneusement que m importent votre personne et vos action cela est peu de chose dans ma vie spirito se mordit la lèvre à en faire jaillir le sang mais il ne prononça pas un mot  car enfin ajoutatelle vous prétendez être supérieur à la plupart de ceux qui vous entourent et vous n êtes qu un voleur et un meurtrier comme euxc est ainsi que vous me traitez dit spirito en contenant mal son émotion  oui et à juste titre qui a arrêté ce voyageur  c est moi  et vous n avez pas je gage oublié de lui prendre son or  je me soucie bien de cela  dit le jeune homme avec humeur il tira de sa poche la bourse du peintre et la lança dans l abîme  elle n en a pas été moins prise à ce voyageur et perdue pour lui dit isola  il n a plus besoin d or pour le voyage qui lui reste à faire  son voyage sera plus long peutètre que le vôtre  a coup sûr puis	voluptueuse	1	1
le_pays	1853-01-03	1	1	PAG_1_TB000195	849	1067	1322	7462	dans la formation du corps immortel. l'une prêtait son épaule à la déesse, l'autre sa jamle svelte et tière ; celle-ci son col délicat et flexible, celle-là le noble ovale de sa jeune tête ou la coupe exquise de ses lèvres. ces membres épars accordés, comme au son d'une lyre, par la main savante de l'artiste, se fondaient sans discordance et sans effort dans l'harmonie d'une forme accomplie. ainsi, parfois toute une guirlande de vierges et de jeunes femmes s'entremêlaient, amoureusement enlacées, dans le beau corps de la déesse ; chacune d'elles avait fourni sa nuance à ce bouquet de beautés, sa fleur à ce printemps, sa note à ce concert. voluptueuse mosaïque dont l'?il même de celles	voluptueuse	1	1
constitutionnel	1853-01-04	1	2	Page1_Block20	1562	802	229	5624	bres sont d'argent; les fruits d'or, ou de rubis.» si le dieu loki en fait son ordinaire, il doit avoir un fier estomac. orfa, qui n'a point de canines si aiguës ni de si fortes molaires, ne goûte pas au fruit défendu, et, pour, étan- chersa soif (car-il fait très chaud dans ce cratère) , .elle boit quelques gorgées, d'or potable dans une coupe de diamant. et il,faut voir ici avec quel abandon, quelle grâce et quelle voluptueuse iyresse, mme cerrito porte à ses lèvres la coupe en chantée, on dirait la ménade antique dans les mystères dé bacchus. un  académicien nous faisait remarquer qu'il faudra changer désormais un'é locution qui ne serait plus d'usage. autrefois, pour boire, on hvait le coude; c'est la jambe qu'on lève à l'opéra, et avec tant de langueur et de mollesse, que l'on sent bien que la volupté n'est pas loin. elle parait à son tour, et c'est.mlle bag- danolf, aussi jolie que sage, qui prête son provocant sourireetses attitudes tendrement langoureuses, au plus séduisant, au plus dangereux, au plus irrrési^tible des sept péchés mortels. sous-des rideaux de gaze im provisés par des nymphes légèrement vêtues, la pauvre orfa est livrée aux rêves les plus ar- dens d'une imagination égarée.le ditu du feu, qui se croit sûr de la victoire, enlace dans ses bras nerveux la jeune fille endormie et il l'èntraîne sur sa couche brûlante, lors- qu'enfin le chasseur lodbrog parait armé de sa flèche d'or, et détruit tous les -eachante-	voluptueuse	1	1
debats	1853-01-05	1	3	P3_TB00006	2279	921	91	4683	oraisons funèbres d.» bossuet , nouvelle édition, accompagnée d'un aperçu sur l'oraison funèbre en france, de notices biographiques et de notes, par m. c. aubert, professeur au lycée louis-le- grand. un volume in-12. chez haçhette, libraire! l'université travaille. j'ai là, sous la main, un grand nombre d'éditions nouvelles de noslclassiqùes, données pap des. professeurs, et parfaitement appropriées au but pour lequel elles sont faites, celui de former le goût et l'esprit des jeunes gens. j'espère bien y trouver, le sujet de plusieurs articles. il est si doux de reyenir de temps en temps à cette vieille et bonne littérature, notre vraie gloire! aujourd'hui je prends une édition nouvelle du plus célèbre des ouvrages de bossuet, ses oraisons ' «w c'est un jbli volume imprimé à l'ancienne mode, en beaux caractères bien, lisibles, et dans le for-., mat in-îà, i'e plus commode de tous. l'éditeur est un professeur du lycée louis-le-graud, m. aubert. on doit à m. aubert, dans cette édition,, un aperçu littéraire sur l'histoire de l'oraison funèbre en france, qui m'a paru fort bien fait; de? notices biographiques placées en tète de chacune des oraisonsfunèbres deßbsmet, et quelquefois nécessaires pour rectifier les jugemens de l'orateur et du panégyriste, enfin des notes critiques curieuses et solides • eii général. quelques unes de ces notes portent sur des expressions et sur des tours de phrase, en bien petit nombre, qui ont vieilli ou que la stricte grammaire semble condamner. je ne reprocherai pas à m. aubert de critiquer bossuet; on peut trouver à reprendre même dans ces grands modèles de langage et d'éloquence. m. aubert n'a fait qqq son, dgyoip d'éditeur et de professeur ; il l'a fait sobrement. mais j'avoue que dans quelques cas particuliers;j'userais n'être pas de son avis. on est bien fort quand on a bossuet avec soi. si quelques unes des expressions de bossuet ont vieilli, n!estce pas tant pis pour nous, et ce que nous aurions de mieux à faire, ne serait-ee pas de les reprendre ? nous cherchons des mois nouveaux et nous abandonnons les anciens qui valaient cent fois mieux ! ainsi bossuet emploie admirablement, «me semble, le mot courage au pluriel ; il dit dans l'oraison funèbre de la reine d'angleterre : « le libertinage d'esprit, la fureur de disputer des choses divines, sans lin, sans règle, sans soumission, a emporté les courages »; et dans celle du prince de condé : « ce grand prince calma les courages émus. » que met-	libertinage	1	1
constitutionnel	1853-01-12	1	4	Page1_Block6	3077	817	2763	217	coup de sang. —asthme. — rhume.—catarrhe pul monaire, — maladie de la bile. — cancer. —ulcérés rongeans.—squirrhe.—cataracte. — catarrhe.—ca tarrhe de vessie.— convulsions, -r- crachement de sang. —pâles couleurs. —constipation.—rhume de cerveau.—coliquès.—couperose.— dartres.— mala dies de la peau.,— douleurs nocturnes. — aliénation mentale.—. diarrhée.— dyssenterie.— faiblesse géné rale.— dèfaillasnce.— enflure.— engorgement—en- rouemens — sjlgnemens do nez. — ëpilepsie.— ery- sipèle.— etouuemôns; — flueurs blanches. — pertes en blanc.—mauvaisèthaleine.—furoncles.—fistules. — fièvres périodiques. — gale. — gangrène. — gas trite. — gastralgie. — goitre.— goutte.—gravelle.— grippe. — hydropisie. —jlémorroïdes.— mélancolie. '— hystérie. — insomnie!*— incontinence d'urine. — maladies laiteuses. — marasme. — consomption. — —migraine.—carie d«s/s. — enfans noués. —fureur utérine. — onanisme..^- habitudes secrètes. — mal d'yeux. — ne z punâij. — -palpitations. — paralysie.— phthisie. —poitrinaires.— pissement de sang.—pertes ■nocturnes'.—bachitismb>—^rhumatisme. — sciatique. —scorbut.— scrofules. -— ecroueiles. — somnambu lisme.—teigne. — tremblemehs nerveux. — ulcères. —ulcérations.—végétations.— excroissances.— vers. —vertiges.—guérisons opérées par le rob de -boy- veau-lafi'ecteur. deux choses nous ont surtout frappé, dit le doc-' ' teur buet-deviliards, dans l'examen du manuel' hygiénique*: c'est la clarté , la correction avec la quelle chaque affection s'y trouve définie par se-, symptômes essentiels , caractéristiques, et l'habilets de l'auteur à faire ressortir avec une grande précié sjon les cas dans lesquels on peut employer ave- succès le rob de boyveau-laffecteur, .dont-ï'usage a pris une si grande extension depuis quelques an- ' nées. hâtons nous ~de dire que l'auteur, en homme de science (ses ouvrages le prouvent), loin de préco niser le rob comme une panacée universelle, s'appli que avec un soin consciencieux, d'une' part, à indi quer les médications classiques les plus efficaces, et, de l'autre, à bien définir les cas .où l'emploi du. eob. devient utile et indispensable, soit comme moyen préventif et hygiénique, soit comme moyen curatif. ■ ruet-dc.villards, docteur en médecine. —monsieur et honoré confrère, c'est avec une vive reconnaissance que j'accepte votre ouvrage sur, les, affections, de la peau. je me suis beaucoup occupé des maladies dont cette enveloppe est si fréquemment affectée; mais, quoique cette branche dé l'art de guérir soit culli vée par des hommes recommandables sous tous les rapports, le traitement employé laissait beaucoup à ! désirer. ' comme vous, je pense que--toutes ces maladies reconnaissent pour base un vice général plutôt que, local, et qu'il est certain que le peu 4e succès obte-' nu jusqu'à présent par les médecins qui s'occupent du traitement des maladies de la peau tient à ce, faux système. j'espère désormais que, par l'usage de votre rob, cette lacune va se trouver remplie, et que les médecins en feront bientôt un usage plusfçp- quent. r ' . ' i veuillez remettre au porteur de ma lettre six bou teilles de rob de boyveau-laffecteur. tour.ette, docteur-médecin à- chambly. ' depots du rob. pour se procurer le rob x de-laftecteur, portant la signature du docteur giraudeau de saint-gervais, on peut s'adresser avec confiance à tous les pharma ciens de france,, de hollande et de bêlgique. — ce rcmede, le rob, se trouve chez les pharmaciens sui- vans : ' . . algerie'. — alger, chez mm. dupail, simounet. blidah, champ. — constantme, gadot. — bone, mon- dehard.—mostaganem, etienne.—oran,' berguerand. — philippeville, nielii. - * x allemagne.—prix : -3~thalers. - aix-la-chapelle, sommer. augsbourg, j.riesling, bremeu,c.-g.iioffs- chaegér. bresluu, avilh mayer et.o. broay, neuman- kourfelds. celle, tafelmacher. clèves, p.-s. mertens. cologne, nierstrass-sœhne, droguiste. crefeld, c.-g. atgels. deutz, ed. bapp. diedoif, stadler. dussel- dorff, dehaen cartaxjen. eberfeld, zapp-gill. franc fort, haas. gablonz, ulrich.' glat/, c. rutsch. gos- lar, j.-e. schoke, droguiste. 'hambourg,. m. go- thélf-voss, 21 grosse-johannistra?se, hanovre, cari schneider et andreae. hersfeld, g. herus klapdoert. heinola, w. langhoff, hirschberg, heinrich. hof, erkard bauer. kœnigsberg, julius karkutsch. leip- sig, d r làurentius, hohestrassc, 26. mayence, le d 1 galette, agent général. memcl, c.-f. zacher. mulheim-sur-le-rhin, van den, steinen. nuremberg, g. demier-mèlder. offembach, bauché. 011mut;',t	onanisme	1	1
gazette_tribunaux	1853-01-15	1	1	Block105	0	0	0	0	"reine anne, en 1713, au marquis de torey, notre célèbre ambassadeur à londres, fauteur au traité d'utrechi; il pause s»n temps à classer, à étiqueter, à épousseter 'ses trésors; il se rengorge en disant à ses amis.que le» seuls objets appelés de haute curiosité lui paraissent dignes de ses, soins. « dermoiil donne ia préférence au règne végétal; i! a débuté par former à grands frais une collection de roses de tous les pays, de lontî'. les formes, de lontes les couleurs. • «lie là, il est pa-sé au culte du dahlia. •<ii s'esl ensuile épris de la tulipe, et il a vendu un ou deux petits domaines pour donner à son goût les développements convenables. ; . . • • • ' « on ne finirait pas si l'on entreprenait de décrire les passions nées du désir de posséder des choses rares... » •m* gossiu arrive ensuite à la description des œuvres de salut qui ont rempli la vie de w"" dalbanne, et « à remarquer dans la liste des sept œuvres de miséricorde qui ont rapport au corps, et aux sept œuvres concernai!! l'àme, quelles sont' celles qui ont été l'objet principal des libéralités de m me dalbanne. » il rappelle les maisons religieuses secourues, ies fournitures de vêtements et d'ornements d'égljse, les réparations de chapelles, les pains d'autel et le vin des messes, l'huile, la cire, tm bougie, l'entretien des ( happes, chasubles, étoles, les locations des bancs et places des vieilie.rds et des pauvres honteux, les érections de reposoirs, les habillements des séminaristes et ecclésiastiques, les visites aux malades, aux prisonniers, toutes œuvres, toutes dépenses inspirées par l .s venus chrétiennes de m"""" dalbanne, mais occasionnant des déboursés énormes. quoi qu'il en soit de toutes les assertions de la notice, et en rendant un juste hommage à m™"" dalbanne, eu admettant même la parfaite ex ictitude de ces assertions, elles ne supposeraient pas des chiffres assez importants pour faire comprendre l'énorme déficit constaté dans la fortune de m mî dalbanne. l'auteur dit lui-même qu'il ne parle qu.î par ouï-dire. « laissons, dit-il, parler noire écho. » supposons une distribution de 100, 200 soupes par jour, nous aurons au plus 1,800 fr. par au ; supposons une aumône de bons de pains à raison de 25 ou 33 fr. par mois, nous aurons 300 ou 400 fr. par an, un peu plus un peu moins. la distribution de ce mémoire, de celte notice, était donc un mauvais moyen, d'auiant qu'elle a eu lieu la veille de nos plaidoiries'; c'est là, il faut le dire, une pratique très condamnable. quoi qu'il en soit, si m""' e dalbanue était douée de l'esprit de charité, comme on l'a dit avec raison, elle manifestait cet esprit d'une manière honorable quand elle donnait à ses héritiers les biens qu'elle tenait de son mari et de sa collaboration au commerce exercé par celui-ci. la cause du déficit de la succession n'était pas là ; elle élait notamment dans les dois données par m. dalbanne à ses filles : à l'une 120,000 fr., à l'autre pareille somme; elle était encore dans cette stipula', ion d'une pension de 5,000 l 'r. .seulement à la charge de m. dalbanne, tandis que, pour lui et i. - siens, u se dépensait j,» la maison plus de 20,000 fr. par ...n. le jugement dont est appel ne nie pas cela ; mais, par un argument de droit que nous avons peine à ne pas prendre pour une plaisanterie, il nous dit que cela u' est pas. -sujet à rapport. sans douie l'article 852 du code napoléon dispense du rapport à succession les frais de nourriture, d'entretien, d'équipement, des frais de noce et présents d'usage; mais faudra-t-il considérer coin me ayau .1 le caractère de semblables dépenses les frais faits au profit de m. dalbanne pendant vingl-quatre ans dans la maison de sa mère, au prix de pension de 5,000 fr, par an, pendant que le déboursé réel était annuellement de 20,000 fr. au moins ! u y. a ici une confusion évidente; l'ai t. 832 ne s'applique pas it des avantages indirects, à des libéralités extra-légales; la nourriture, l'entretien, l'équipement, les frais de noce, lés frais d'apprentissage, tout cela, pour les parents, ce n'est pas libéralité, c'est l'accompluseuieut d'un devoir, mais d'un devoir envers qui? envers les enfants... et vous, 11. dalbanue, vous êtes un enfant qui est grand-père! or, c'est exclusivement dans le sens de l'application aux enfants qui sont encore enfants, c'est dans le sens d'une délie, que la dispense du rapport a été expliquée et entendue par les commentateurs du code napoléon; mil. treiibard et locré n'ont laissé aucun doute à cet égard. c'est ainsi que denisart, au mot rapport, dit que les frais de fiançailles, le-: présents faits aux parents ou aux entremetteurs du mariage (ce qui indique que il. villiaume et m. de foy u'oni pas été les premiers eu ce genre), ne sont pas sujets à rapport; mais le même auteur enseigne que le prix des habits nuptiaux est rapportable à la succession. il est vrai qu'un arrêt de la cour de paris, du 17 février 1821, est cité en sens contraire à la doctrine que nous invoquons. mais il faut voir l'espèce de cet arrêt : il s'agissait de plusieurs enfants, ayant chacun un logement sépare, et dont quelques uns avaient momenlatiémeni occupé des appartements dans la maison paternelle; ceux qui n'avaient pas ea cei avantage ont réclamé; il n'est pas étonnant que leur réclamation ail été admise. d'un autre côtés un arrêt de la cour de nancy, du 20 janvier 1830, est tout à l'ait conforme à notre interprétation. eu lait, dans la maison dalbanne, les dépenses ordinaires pouvaient aller à 25,000 fr., dans lesquelles 2,000 l'r. pour la boucherie, 2,000 l'r. pour l'épicerie, 10 pièces de vin (1,0(10 francs par an environ); s'il y a eu 25,000 fr. pour les pauvres, il y a eu 25,000 l'r. pour la famille de m. dalbanne fil-, qui se composait, avec lui, de sa femme, de sept enfants, sur lesquels il est vrai qu'il en a perdu trois, de quatre ou cinq commis, de trois domestiques, eu tout t.ei/ * à dix-sept personnes, et dans ce nombre quatre enfants élevés avec une éducation libérale, sans parler des- inarchads forains qui survenaient et qu'on était dans l'habitude de nourrir; sans parler des chevaux, de l'entretien -tes voitures, etc.; et pendant que m. dalbanne était, censé donner 5,000 l'r. pour sa pension, pendant qu'on dépètisait à son profit 23,000 fr., m me veuve dalbanne, sa mère, vivait, parce qu'en elfet c'était sou goût, dans une petite chambre où, lors de l'inventaire, on a trouvé 54 francs; assurément cé n'était pas la pension de m. dalbanne ci des siens qu'il fallait évaluer à 5,000 fr., et tout au plus eùl-on pu fixer à ce chiffre les dépenses de m mo dalbanne, tandis que son fils absorbait au moins 20,000 fr."	érections	1	1
gazette_tribunaux	1853-01-15	1	NA	Block105	0	0	0	0	"reine anne, en 1713, au marquis de torey, notre célèbre ambassadeur à londres, fauteur au traité d'utrechi; il pause s»n temps à classer, à étiqueter, à épousseter 'ses trésors; il se rengorge en disant à ses amis.que le» seuls objets appelés de haute curiosité lui paraissent dignes de ses, soins. « dermoiil donne ia préférence au règne végétal; i! a débuté par former à grands frais une collection de roses de tous les pays, de lontî'. les formes, de lontes les couleurs. • «lie là, il est pa-sé au culte du dahlia. •<ii s'esl ensuile épris de la tulipe, et il a vendu un ou deux petits domaines pour donner à son goût les développements convenables. ; . . • • • ' « on ne finirait pas si l'on entreprenait de décrire les passions nées du désir de posséder des choses rares... » •m* gossiu arrive ensuite à la description des œuvres de salut qui ont rempli la vie de w"" dalbanne, et « à remarquer dans la liste des sept œuvres de miséricorde qui ont rapport au corps, et aux sept œuvres concernai!! l'àme, quelles sont' celles qui ont été l'objet principal des libéralités de m me dalbanne. » il rappelle les maisons religieuses secourues, ies fournitures de vêtements et d'ornements d'égljse, les réparations de chapelles, les pains d'autel et le vin des messes, l'huile, la cire, tm bougie, l'entretien des ( happes, chasubles, étoles, les locations des bancs et places des vieilie.rds et des pauvres honteux, les érections de reposoirs, les habillements des séminaristes et ecclésiastiques, les visites aux malades, aux prisonniers, toutes œuvres, toutes dépenses inspirées par l .s venus chrétiennes de m"""" dalbanne, mais occasionnant des déboursés énormes. quoi qu'il en soit de toutes les assertions de la notice, et en rendant un juste hommage à m™"" dalbanne, eu admettant même la parfaite ex ictitude de ces assertions, elles ne supposeraient pas des chiffres assez importants pour faire comprendre l'énorme déficit constaté dans la fortune de m mî dalbanne. l'auteur dit lui-même qu'il ne parle qu.î par ouï-dire. « laissons, dit-il, parler noire écho. » supposons une distribution de 100, 200 soupes par jour, nous aurons au plus 1,800 fr. par au ; supposons une aumône de bons de pains à raison de 25 ou 33 fr. par mois, nous aurons 300 ou 400 fr. par an, un peu plus un peu moins. la distribution de ce mémoire, de celte notice, était donc un mauvais moyen, d'auiant qu'elle a eu lieu la veille de nos plaidoiries'; c'est là, il faut le dire, une pratique très condamnable. quoi qu'il en soit, si m""' e dalbanue était douée de l'esprit de charité, comme on l'a dit avec raison, elle manifestait cet esprit d'une manière honorable quand elle donnait à ses héritiers les biens qu'elle tenait de son mari et de sa collaboration au commerce exercé par celui-ci. la cause du déficit de la succession n'était pas là ; elle élait notamment dans les dois données par m. dalbanne à ses filles : à l'une 120,000 fr., à l'autre pareille somme; elle était encore dans cette stipula', ion d'une pension de 5,000 l 'r. .seulement à la charge de m. dalbanne, tandis que, pour lui et i. - siens, u se dépensait j,» la maison plus de 20,000 fr. par ...n. le jugement dont est appel ne nie pas cela ; mais, par un argument de droit que nous avons peine à ne pas prendre pour une plaisanterie, il nous dit que cela u' est pas. -sujet à rapport. sans douie l'article 852 du code napoléon dispense du rapport à succession les frais de nourriture, d'entretien, d'équipement, des frais de noce et présents d'usage; mais faudra-t-il considérer coin me ayau .1 le caractère de semblables dépenses les frais faits au profit de m. dalbanne pendant vingl-quatre ans dans la maison de sa mère, au prix de pension de 5,000 fr, par an, pendant que le déboursé réel était annuellement de 20,000 fr. au moins ! u y. a ici une confusion évidente; l'ai t. 832 ne s'applique pas it des avantages indirects, à des libéralités extra-légales; la nourriture, l'entretien, l'équipement, les frais de noce, lés frais d'apprentissage, tout cela, pour les parents, ce n'est pas libéralité, c'est l'accompluseuieut d'un devoir, mais d'un devoir envers qui? envers les enfants... et vous, 11. dalbanue, vous êtes un enfant qui est grand-père! or, c'est exclusivement dans le sens de l'application aux enfants qui sont encore enfants, c'est dans le sens d'une délie, que la dispense du rapport a été expliquée et entendue par les commentateurs du code napoléon; mil. treiibard et locré n'ont laissé aucun doute à cet égard. c'est ainsi que denisart, au mot rapport, dit que les frais de fiançailles, le-: présents faits aux parents ou aux entremetteurs du mariage (ce qui indique que il. villiaume et m. de foy u'oni pas été les premiers eu ce genre), ne sont pas sujets à rapport; mais le même auteur enseigne que le prix des habits nuptiaux est rapportable à la succession. il est vrai qu'un arrêt de la cour de paris, du 17 février 1821, est cité en sens contraire à la doctrine que nous invoquons. mais il faut voir l'espèce de cet arrêt : il s'agissait de plusieurs enfants, ayant chacun un logement sépare, et dont quelques uns avaient momenlatiémeni occupé des appartements dans la maison paternelle; ceux qui n'avaient pas ea cei avantage ont réclamé; il n'est pas étonnant que leur réclamation ail été admise. d'un autre côtés un arrêt de la cour de nancy, du 20 janvier 1830, est tout à l'ait conforme à notre interprétation. eu lait, dans la maison dalbanne, les dépenses ordinaires pouvaient aller à 25,000 fr., dans lesquelles 2,000 l'r. pour la boucherie, 2,000 l'r. pour l'épicerie, 10 pièces de vin (1,0(10 francs par an environ); s'il y a eu 25,000 fr. pour les pauvres, il y a eu 25,000 l'r. pour la famille de m. dalbanne fil-, qui se composait, avec lui, de sa femme, de sept enfants, sur lesquels il est vrai qu'il en a perdu trois, de quatre ou cinq commis, de trois domestiques, eu tout t.ei/ * à dix-sept personnes, et dans ce nombre quatre enfants élevés avec une éducation libérale, sans parler des- inarchads forains qui survenaient et qu'on était dans l'habitude de nourrir; sans parler des chevaux, de l'entretien -tes voitures, etc.; et pendant que m. dalbanne était, censé donner 5,000 l'r. pour sa pension, pendant qu'on dépètisait à son profit 23,000 fr., m me veuve dalbanne, sa mère, vivait, parce qu'en elfet c'était sou goût, dans une petite chambre où, lors de l'inventaire, on a trouvé 54 francs; assurément cé n'était pas la pension de m. dalbanne ci des siens qu'il fallait évaluer à 5,000 fr., et tout au plus eùl-on pu fixer à ce chiffre les dépenses de m mo dalbanne, tandis que son fils absorbait au moins 20,000 fr."	érections	1	1
le_pays	1853-01-18	1	3	PAG_3_TB000131	1050	1203	5621	2995	res la plupart des recueils publiés jusqu'à-est lors par le poète ont été réunis sous le titre de m- la lira del cavalier marino. et nous n'a-lée vons point encore interrogé les cordes les or- plus harmonieuses et les mieux timbrées de cre cette lyre celles qu'il a consacrées à ses amours. il ne faut chercher, dans cette eol)as lection de soupirs modulés sur tous les tons ni passion, ni tendresse, ni abandon. vous y n y ^ouverez pas comme dans pétrarque les ne subtilités du c?ur réfléchies dans les subti-ue fîtes du langage, vous n'y verrez que l'adresse et et la sensualité de l'esprit. l'amour pour lui ment.qu..'tlll e' ce n est pas un senti- hi- on le répète volontiers, mais il ne faut o- pas s y méprendre : quoiqu'elle nous parais.... se souvent quintessenciée dans sa forme la .es pensée de pétrarque est toujours simple.	sensualité	1	1
le_pays	1853-01-21	1	1	PAG_1_TB000152	697	1070	4603	8524	louis xiv avait élevé le palais de versailles à sa gloire. louis xv s'était construit à grands frais une retraite pour ses plaisirs à choisy-le-roi, et avait fait succéder à l'orgueilleuse, mais libérale ostentation de son aïeul, son mystérieux égoïsme. entr'ouvrant donc par la pensée cette petite maison de la couronne, nous ferons pénétrer notre lecteurs dans un salon reluisant de dorures et respirant dans toutes ses fresques ce goût de volupté lourde et de sensualité compassée qui caractérise la peinture anacréontique de l'époque.	sensualité	1	1
